Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5
30	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_35,1.000,-3.000,150.000,150.000)	Pic(rect_35,1.000,-3.000,150.000,150.000)	
31	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_90,1.000,3.000,150.000,150.000)	Pic(rect_85,1.000,3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	
32	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_90,1.000,3.000,150.000,150.000)	Pic(rect_90,1.000,3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	Pic(rect_120,1.000,-3.000,150.000,150.000)	
33	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_130,1.000,3.000,150.000,150.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	
34	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_130,1.000,3.000,150.000,150.000)	Pic(rect_130,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	
35	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_125,1.000,3.000,150.000,150.000)	Pic(rect_120,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	
36	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_125,1.000,3.000,150.000,150.000)	Pic(rect_125,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	
37	't_info', 'T1 Change' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_25,1.000,3.000,150.000,150.000)	Pic(rect_90,1.000,3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	
38	't_info', 'Same' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_25,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	
39	't_info', 'T1 Change' 	1 	3 4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_110,1.000,3.000,150.000,150.000)	Pic(rect_45,1.000,-3.000,150.000,150.000)	Pic(rect_45,1.000,-3.000,150.000,150.000)	
40	't_info', 'Same' 	1 	3 4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_45,1.000,-3.000,150.000,150.000)	Pic(rect_45,1.000,-3.000,150.000,150.000)	
41	't_info', 'T1 Change' 	1 	1 2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,3.000,150.000,150.000)	Pic(rect_95,1.000,-3.000,150.000,150.000)	Pic(rect_95,1.000,-3.000,150.000,150.000)	
42	't_info', 'Same' 	1 	1 2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_95,1.000,-3.000,150.000,150.000)	Pic(rect_95,1.000,-3.000,150.000,150.000)	
43	't_info', 'T1 Change' 	1 	4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_130,1.000,3.000,150.000,150.000)	Pic(rect_165,1.000,3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	
44	't_info', 'Same' 	1 	4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_130,1.000,3.000,150.000,150.000)	Pic(rect_130,1.000,3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	Pic(rect_175,1.000,-3.000,150.000,150.000)	
45	't_info', 'T1 Change' 	1 	2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_100,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	
46	't_info', 'Same' 	1 	2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_100,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	Pic(rect_30,1.000,-3.000,150.000,150.000)	
47	't_info', 'T1 Change' 	1 	2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_50,1.000,3.000,150.000,150.000)	Pic(rect_155,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	
48	't_info', 'Same' 	1 	2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_50,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	
49	't_info', 'T1 Change' 	1 	2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_45,1.000,3.000,150.000,150.000)	Pic(rect_170,1.000,-3.000,150.000,150.000)	Pic(rect_170,1.000,-3.000,150.000,150.000)	
50	't_info', 'Same' 	1 	2 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_170,1.000,-3.000,150.000,150.000)	Pic(rect_170,1.000,-3.000,150.000,150.000)	
51	't_info', 'T1 Change' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_40,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	
52	't_info', 'Same' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_65,1.000,3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	Pic(rect_50,1.000,-3.000,150.000,150.000)	
53	't_info', 'T1 Change' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_115,1.000,3.000,150.000,150.000)	Pic(rect_90,1.000,3.000,150.000,150.000)	Pic(rect_65,1.000,-3.000,150.000,150.000)	Pic(rect_65,1.000,-3.000,150.000,150.000)	
54	't_info', 'Same' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_115,1.000,3.000,150.000,150.000)	Pic(rect_115,1.000,3.000,150.000,150.000)	Pic(rect_65,1.000,-3.000,150.000,150.000)	Pic(rect_65,1.000,-3.000,150.000,150.000)	
55	't_info', 'T1 Change' 	1 	3 4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_110,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	
56	't_info', 'Same' 	1 	3 4 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_150,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	
57	't_info', 'T1 Change' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_170,1.000,3.000,150.000,150.000)	Pic(rect_55,1.000,3.000,150.000,150.000)	Pic(rect_140,1.000,-3.000,150.000,150.000)	Pic(rect_140,1.000,-3.000,150.000,150.000)	
58	't_info', 'Same' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_170,1.000,3.000,150.000,150.000)	Pic(rect_170,1.000,3.000,150.000,150.000)	Pic(rect_140,1.000,-3.000,150.000,150.000)	Pic(rect_140,1.000,-3.000,150.000,150.000)	
59	't_info', 'T1 Change' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_70,1.000,3.000,150.000,150.000)	Pic(rect_105,1.000,-3.000,150.000,150.000)	Pic(rect_105,1.000,-3.000,150.000,150.000)	
60	't_info', 'Same' 	1 	2 3 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_140,1.000,3.000,150.000,150.000)	Pic(rect_105,1.000,-3.000,150.000,150.000)	Pic(rect_105,1.000,-3.000,150.000,150.000)	
61	't_info', 'T1 Change' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_15,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	
62	't_info', 'Same' 	1 	5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_15,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	Pic(rect_100,1.000,-3.000,150.000,150.000)	
63	't_info', 'T1 Change' 	1 	4 5 	lp_dstrctr_nocue_mobile_blank_fix	Fix(0.000,0.000)	Pic(rect_145,1.000,3.000,150.000,150.000)	Pic(rect_170,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
